UNIQUE_IDENTIFICATION_NUMBER_OF_THE_INSTITUTION,"Percent of Bachelor Degrees Awarded in Science, Technology, Engineering, and Math",Percent of Bachelor Degrees Awarded in Arts and Humanities,Percent of Bachelor Degrees Awarded in Education,Percent of Bachelor Degrees Awarded in Social Sciences,Percent of Bachelor Degrees Awarded in Health Sciences,Percent of Bachelor Degrees Awarded in Business,Percent of American Indian or Alaska Native Undergraduates,Percent of Two or More Races Undergraduates,Percent of Asian Undergraduates,Percent of Black or African American Undergraduates,Percent of Latino Undergraduates,Percent of Native Hawaiian or Other Pacific Islander Undergraduates,Percent of White Undergraduates,Percent of Women Undergraduates,Percent of Men Undergraduates,Percent of Nonresident Undergraduates,Percent of Undergraduates Race-Ethnicity Unknown,Percent of Undergraduates Age 25 to 64,"Percent of Full-time, First-time Degree-Seeking Undergraduates","Percent of First-Time, Full-Time International Undergraduates",Total Enrollment,Total Percent of Men Admitted,Total Percent of Women Admitted,Average Cost of Attendance Out-of-State,Average Cost of Attendance In-State,"Percent Full-time, First-time, Pell Grant Recipients Receiving an Award - 6 Years","First-Time, Full-Time Retention Rate","Out-of-State Average Tuition for First-Time, Full-Time Undergraduates","Average In-State Tuition for First-Time, Full-Time Undergraduates","Average Amount of Loans Awarded to First-Time, Full-Time Undergraduates","Average Amount of Federal Grant Aid Awarded to First-Time, Full-Time Undergraduates","Average Amount of Institutional Grant Aid Awarded to First-Time, Full-Time Undergraduates","Average Amount of Federal, State, Local, or Institutional Grant Aid Awarded","Percent of First-Time, Full-Time Undergraduates Awarded Federal, State, Local or Institutional Grant Aid","Percent of First-Time, Full-Time Undergraduates Awarded Pell Grants","Average Net Price After Grants, 2020-21","Average Net Price for Low-Income Students, 2020-21","Average Net Price After Grants- Students Awarded a Grant or Scholarship, 2020-21","Number Awarded a Grant or Scholarship - Low-Income Students In-State, 2020-21","Number Awarded a Grant or Scholarship - Low-Income Students, 2020-21","Average Net Price After Grants - Low-Income Students Awarded Financial Aid, 2020-21",Cohort Default Rate,Median Debt for Dependent Students,Median Debt of Completers,Median Debt for Independent Students
101301,,,,,,,0.0,2.0,1.0,74.0,1.0,0.0,21.0,59.0,41.0,,,21.0,13.0,0.0,1627.0,,,15450.0,11760.0,34.0,62.0,7380.0,3690.0,,7615.0,3501.0,8498.0,98.0,80.0,2247.0,1733.0,,106.0,,1733.0,,,,
101435,0.139344,0.0,0.032787,0.020492,0.012295,0.352459,0.0,4.0,1.0,20.0,6.0,0.0,66.0,45.0,55.0,0.0,20.0,4.0,30.0,0.0,844.0,69.0,70.0,36908.0,36908.0,40.0,72.0,25995.0,25995.0,8854.0,5070.0,12904.0,15688.0,100.0,40.0,23664.0,19670.0,23664.0,,44.0,19670.0,0.1,15208.0,27000.0,23002.0
101994,,,,,,,0.0,2.0,1.0,61.0,1.0,0.0,34.0,61.0,39.0,,,37.0,20.0,0.0,374.0,,,13705.0,10015.0,41.0,73.0,7380.0,3690.0,,6428.0,4797.0,8043.0,95.0,51.0,931.0,159.0,,12.0,,159.0,,,,
102553,0.069923,0.0,0.0,0.045019,0.244253,0.185824,5.0,10.0,7.0,3.0,8.0,3.0,49.0,61.0,39.0,2.0,6.0,43.0,6.0,1.0,10845.0,68.0,70.0,43325.333333,26719.333333,22.0,69.0,23072.0,7224.0,5628.0,5494.0,3943.0,7523.0,80.0,29.0,12816.0,9450.0,,104.0,,9450.0,0.034,9000.0,20500.0,14207.0
102632,0.111111,0.013889,0.173611,0.145833,0.0,0.291667,14.0,11.0,3.0,1.0,7.0,2.0,55.0,65.0,35.0,5.0,5.0,50.0,6.0,1.0,1997.0,59.0,55.0,32680.0,18544.0,28.0,65.0,22742.0,7121.0,6059.0,3762.0,2929.0,8360.0,83.0,33.0,7428.0,6157.0,,20.0,,6157.0,0.051,7500.0,20000.0,12467.0
102669,0.019231,0.019231,0.0,0.0,0.115385,0.269231,23.0,13.0,5.0,3.0,10.0,1.0,32.0,78.0,22.0,1.0,21.0,56.0,9.0,,554.0,94.0,97.0,34970.0,34970.0,50.0,68.0,20350.0,20350.0,6186.0,4298.0,10187.0,16403.0,100.0,63.0,19830.0,20463.0,19830.0,,6.0,20463.0,0.059,12892.0,22272.0,13255.0
104160,,,,,,,1.0,1.0,1.0,1.0,67.0,0.0,12.0,58.0,42.0,,,23.0,6.0,,8081.0,,,25518.333333,16968.333333,25.0,66.0,11250.0,2700.0,4583.0,5623.0,1669.0,5800.0,85.0,75.0,9877.0,9465.0,,162.0,,9465.0,0.121,3250.0,5151.0,6230.0
104708,,,,,,,1.0,5.0,5.0,6.0,40.0,0.0,41.0,56.0,44.0,,,28.0,8.0,0.0,13882.0,,,24042.0,18258.0,17.0,63.0,7824.0,2040.0,3478.0,5272.0,1677.0,4684.0,77.0,43.0,10810.0,8698.0,,214.0,,8698.0,0.121,3500.0,7469.0,5091.0
105297,0.128205,0.0,0.153846,0.0,0.230769,0.179487,97.0,0.0,0.0,0.0,1.0,0.0,1.0,76.0,24.0,,,55.0,5.0,0.0,1315.0,,,12483.333333,12483.333333,13.0,9.0,1320.0,1320.0,,3061.0,525.0,3217.0,69.0,69.0,10923.0,10680.0,,36.0,,10680.0,,,,
106263,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,12.0,9.0,0.0,64.0,85.0,15.0,4.0,2.0,65.0,0.0,,3088.0,,,,,,,14448.0,6708.0,,,,,,,,,,,,,0.012,12000.0,14000.0,16250.0
106324,,,,,,,0.0,0.0,0.0,3.0,18.0,3.0,76.0,100.0,0.0,,,18.0,36.0,,33.0,,,,,,84.0,,,5695.0,3620.0,,3680.0,70.0,70.0,10105.0,10282.0,10105.0,,22.0,10282.0,0.09,,,
106360,,,,,,,4.0,0.0,0.0,12.0,8.0,0.0,76.0,96.0,4.0,,,36.0,16.0,,25.0,,,,,,70.0,,,5667.0,6427.0,,6427.0,100.0,100.0,10138.0,10138.0,10138.0,,8.0,10138.0,0.024,7458.0,12000.0,9500.0
106467,0.076019,0.0,0.126176,0.025078,0.138715,0.146552,1.0,5.0,2.0,6.0,10.0,0.0,75.0,56.0,44.0,4.0,0.0,14.0,15.0,1.0,9640.0,94.0,95.0,26389.333333,20653.333333,32.0,63.0,11472.0,5736.0,6728.0,4304.0,5159.0,8425.0,94.0,48.0,11097.0,10738.0,,439.0,,10738.0,0.058,10500.0,21104.0,16000.0
106883,,,,,,,0.0,3.0,0.0,39.0,2.0,0.0,54.0,67.0,33.0,,,29.0,12.0,,1056.0,,,14315.0,13715.0,21.0,49.0,3540.0,2940.0,3340.0,5575.0,1680.0,5589.0,92.0,81.0,7295.0,7091.0,,67.0,,7091.0,0.177,3500.0,5250.0,5250.0
106892,,,,,,,0.0,0.0,0.0,81.0,3.0,0.0,16.0,98.0,2.0,,,45.0,15.0,,62.0,,,,,,,,,3026.0,4149.0,,4149.0,71.0,71.0,13009.0,13009.0,13009.0,,48.0,13009.0,0.133,3412.0,3845.0,3412.0
106980,,,,,,,2.0,0.0,2.0,12.0,11.0,0.0,72.0,62.0,38.0,,,32.0,26.0,,1919.0,,,16276.0,15046.0,29.0,59.0,4110.0,3000.0,4347.0,4738.0,2836.0,5178.0,89.0,65.0,8524.0,7892.0,,184.0,,7892.0,0.132,5250.0,11000.0,8692.0
107099,,,,,,,0.0,1.0,0.0,14.0,5.0,0.0,80.0,96.0,4.0,,,32.0,13.0,,85.0,,,,,,54.0,,,7245.0,6036.0,,6036.0,88.0,88.0,11844.0,11977.0,11844.0,,10.0,11977.0,0.086,,,
107442,,,,,,,0.0,0.0,0.0,97.0,3.0,0.0,0.0,33.0,67.0,,,52.0,12.0,,33.0,,,,,,100.0,,,6071.0,5446.0,,5446.0,80.0,80.0,11054.0,11054.0,11054.0,,8.0,11054.0,0.161,,,
107488,,,,,,,1.0,5.0,4.0,3.0,36.0,2.0,47.0,32.0,68.0,,,40.0,98.0,,155.0,,,10984.0,10984.0,,92.0,4000.0,4000.0,6483.0,3739.0,1602.0,3234.0,70.0,55.0,13026.0,12956.0,,67.0,,12956.0,,,,
107831,,,,,,,1.0,1.0,0.0,8.0,4.0,0.0,86.0,99.0,1.0,,,49.0,6.0,,84.0,,,,,,86.0,,,8441.0,7501.0,,7501.0,94.0,89.0,12028.0,12385.0,12028.0,,16.0,12385.0,0.24,8259.0,11390.0,8893.0
107992,,,,,,,0.0,7.0,0.0,39.0,5.0,0.0,48.0,55.0,45.0,,,26.0,20.0,,984.0,,,17469.0,15679.0,43.0,61.0,4680.0,3240.0,2898.0,6184.0,2931.0,9475.0,92.0,62.0,7962.0,6546.0,,71.0,,6546.0,0.143,3500.0,5500.0,5667.0
